timestamp,graph_nodes,graph_edges,insertion_time_nodes,insertion_time_edges
2026-06-10T16:46:02.504318,35736,126083,613,426
2026-06-10T16:46:06.847876,35736,126083,16,52
2026-06-10T16:46:31.196693,35739,126083,144,350
2026-06-10T16:46:51.017288,35739,126087,46,213
2026-06-10T16:47:10.818395,35739,126087,10,90
2026-06-10T16:47:31.112392,35739,126087,21,201
2026-06-10T16:47:51.096680,35739,126087,18,208
2026-06-10T16:48:10.878962,35739,126087,11,88
2026-06-10T16:48:30.959509,35739,126087,10,118
2026-06-10T16:48:51.028706,35739,126087,10,142
2026-06-10T16:49:11.099219,35739,126087,12,147
2026-06-10T16:49:30.906773,35739,126122,13,69
2026-06-10T16:49:51.008734,35739,126122,7,91
2026-06-10T16:50:11.033299,35739,126122,12,121
2026-06-10T16:50:31.084907,35739,126122,9,156
2026-06-10T16:50:51.117912,35739,126122,8,151
2026-06-10T16:51:11.195856,35739,126122,8,146
2026-06-10T16:51:31.254889,35739,126122,10,204
2026-06-10T16:51:51.121798,35739,126122,7,102
2026-06-10T16:52:11.201509,35739,126122,6,148
2026-06-10T16:52:31.227816,35739,126168,37,120
2026-06-10T16:52:51.240584,35739,126168,7,120
2026-06-10T16:53:11.233349,35739,126168,7,137
2026-06-10T16:53:31.285665,35739,126168,7,158
2026-06-10T16:53:51.143900,35739,126168,5,0
2026-06-10T16:54:11.109669,35739,126168,4,0
2026-06-10T16:54:31.122724,35740,126168,4,0
2026-06-10T16:54:55.046085,35742,126193,26,172
2026-06-10T16:55:18.073670,35743,126197,14,70
2026-06-10T16:55:38.059474,35743,126199,5,0
2026-06-10T16:55:58.161710,35743,126199,6,58
2026-06-10T16:56:18.103397,35744,126199,5,0
2026-06-10T16:56:38.123337,35744,126199,5,0
2026-06-10T16:57:01.568568,35745,126199,36,198
2026-06-10T16:57:21.549798,35745,126210,6,94
2026-06-10T16:57:41.550198,35745,126210,7,95
2026-06-10T16:58:01.505055,35746,126210,4,60
2026-06-10T16:58:21.454644,35748,126211,5,0
2026-06-10T16:58:41.531269,35748,126211,5,57
2026-06-10T16:59:05.270376,35749,126212,21,119
2026-06-10T16:59:25.196746,35750,126215,5,0
2026-06-10T16:59:45.214584,35750,126215,4,1
2026-06-10T17:00:09.080574,35751,126215,20,96
2026-06-10T17:00:32.653043,35755,126218,52,327
2026-06-10T17:00:52.435767,35755,126297,7,92
2026-06-10T17:01:16.834875,35756,126297,166,877
2026-06-10T17:01:39.390974,35757,126322,15,102
2026-06-10T17:01:59.484090,35757,126325,11,93
2026-06-10T17:02:19.356163,35758,126325,4,0
2026-06-10T17:02:39.359818,35759,126335,5,0
2026-06-10T17:02:59.504240,35759,126335,6,71
2026-06-10T17:03:19.375689,35760,126335,5,0
2026-06-10T17:03:39.867969,35761,126335,10,310
2026-06-10T17:04:03.085390,35762,126345,19,69
2026-06-10T17:04:23.133347,35762,126347,6,98
2026-06-10T17:04:46.378396,35763,126347,33,184
2026-06-10T17:05:06.642199,35764,126352,7,281
2026-06-10T17:05:26.395698,35765,126406,7,108
2026-06-10T17:05:46.328044,35766,126409,7,38
2026-06-10T17:06:06.435623,35767,126410,6,102
2026-06-10T17:06:30.086653,35768,126413,56,233
2026-06-10T17:06:53.232187,35769,126420,16,101
2026-06-10T17:07:16.600293,35770,126423,48,198
2026-06-10T17:07:36.529933,35770,126429,5,87
2026-06-10T17:07:56.411982,35771,126442,5,0
2026-06-10T17:08:16.528160,35772,126442,5,61
2026-06-10T17:08:39.729912,35773,126444,25,152
2026-06-10T17:08:59.727051,35773,126449,6,88
2026-06-10T17:09:23.187170,35774,126449,32,160
2026-06-10T17:09:46.158412,35775,126454,16,93
2026-06-10T17:10:06.255170,35776,126458,6,93
2026-06-10T17:10:29.530203,35777,126461,48,229
2026-06-10T17:10:49.627512,35777,126483,5,217
2026-06-10T17:11:12.424591,35778,126483,16,89
2026-06-10T17:11:32.530088,35778,126486,7,60
2026-06-10T17:11:52.509698,35778,126486,6,58
2026-06-10T17:12:15.738010,35780,126486,31,224
2026-06-10T17:12:35.551979,35780,126492,5,0
2026-06-10T17:12:59.236388,35781,126492,58,333
2026-06-10T17:13:23.763023,35782,126523,250,1390
2026-06-10T17:13:45.233447,35783,126566,21,71
2026-06-10T17:14:09.949750,35784,126568,220,1106
2026-06-10T17:14:31.484613,35785,126602,14,59
2026-06-10T17:14:51.645782,35786,126604,6,107
2026-06-10T17:15:15.053834,35789,126607,67,437
2026-06-10T17:15:38.497117,35790,126620,109,668
2026-06-10T17:16:00.809816,35791,126686,19,89
2026-06-10T17:16:23.908148,35792,126689,14,58
2026-06-10T17:16:44.062954,35793,126691,5,87
2026-06-10T17:17:04.056572,35794,126694,5,88
2026-06-10T17:17:27.181180,35795,126697,30,187
2026-06-10T17:17:47.068918,35795,126703,5,29
2026-06-10T17:18:07.069987,35796,126717,6,31
2026-06-10T17:18:27.053418,35797,126718,5,29
2026-06-10T17:18:47.180453,35798,126719,4,120
2026-06-10T17:19:07.155448,35798,126723,4,84
2026-06-10T17:19:27.153723,35798,126723,4,69
